W,M,P
製品,제품,せいひん
さわる,만지다,さわる
分かれる,나뉘다(갈라지다),わかれる
グループ,그룹,グループ
説明,설명,せつめい
製造,제조,せいぞう
工程,공정,こうてい
どれも,모두,どれも
どれも,전부,どれも
みな,모두,みな
非常に,매우,ひじょうに
とても,아주,とても
細かい,세밀하다(자세하다),こまかい
細い,가늘다,ほそい
仕事,일(업무),しごと
産業,산업,さんぎょう
ロボット,로봇,ロボット
ほとんど,거의,ほとんど
だいたい,대체로,だいたい
みんな,모두(다),みんな
管理,관리,かんり
開発,개발,かいはつ
あとで,나중에,あとで
働く,일하다(근무하다),はたらく
終わる,끝나다,おわる
始まる,시작되다,はじまる
支える,지탱하다(떠받치다/지지하다),ささえる
熱心な,열심인(열성적인/열정적인),ねっしんな
近郊,근교,きんこう
郊外,교외,こうがい
半導体,반도체,はんどうたい
工場,공장,こうじょう
見学,견학,けんがく
コンピューター,컴퓨터,コンピューター
記憶装置,기억 장치,きおくそうち
先端,첨단,せんたん
技術,기술,ぎじゅつ
エレクトロニクス,일렉트로닉스(전자공학),エレクトロニクス
機会,기회,きかい
資料,자료,しりょう
集める,모으다,あつめる
当日,당일,とうじつ
まず,우선(먼저),まず
はじめに,우선(먼저),はじめに
会議室,회의실,かいぎしつ
教室,교실,きょうしつ
図書室,도서실,としょしつ
紹介,소개,しょうかい
ビデオ,비디오,ビデオ
係,담당(자),かかり
見学路,견학로,けんがくろ
道路,도로,どうろ
通路,통로,つうろ
機械,기계,きかい
